Артикул материала;Наименование материала;Цех;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12
123001;Масло 1;511;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666
123001;Масло 1;522;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666
123001;Масло 1;533;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666
123001;Масло 1;544;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666
123001;Масло 1;555;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666;327.19166666666666
1230010;Масло 10;511;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669
1230010;Масло 10;522;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669
1230010;Масло 10;533;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669
1230010;Масло 10;544;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669
1230010;Масло 10;555;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669;207.22916666666669
